SP Distance (m),simulated V
485.683206,-53.196583
487.17509,-53.40376
488.560259,-53.744494
489.975606,-53.902094
491.529156,-54.203927
492.944502,-54.334468
495.809813,-54.614796
497.160382,-54.731598
498.611759,-55.002
499.92353,-55.098869
501.235301,-55.342285
502.585869,-55.409235
505.246727,-55.617056
506.641756,-55.644599
507.992325,-55.815381
509.342893,-55.811192
510.594346,-55.954565
511.944915,-55.930681
514.638675,-56.062133
515.937985,-56.039286
517.237295,-56.198215
518.536605,-56.21947
519.835915,-56.423536
521.188342,-56.491386
522.540769,-56.742841
525.191267,-56.847161
526.635898,-57.117548
527.960796,-57.227837
530.75967,-57.494414
532.252509,-57.588659
533.55182,-57.822668
534.946849,-57.865172
536.341879,-58.040671
539.03564,-58.025986
540.287094,-58.148421
541.738472,-58.086326
543.050244,-58.17608
544.301698,-58.093623
545.686868,-58.162971
546.966021,-58.05891
548.351191,-58.106985
549.604389,-57.991605
552.326862,-58.043966
553.688098,-57.93987
555.141727,-58.013817
556.611417,-57.939808
557.972654,-58.048585
559.426283,-58.002105
560.879912,-58.127276
563.555417,-58.096585
564.899297,-58.238591
567.566013,-58.230055
568.788871,-58.393463
570.132752,-58.40103
571.35561,-58.57256
572.578468,-58.574918
575.018419,-58.727272
576.241277,-58.704942
577.464136,-58.83455
578.683148,-58.79743
580.01298,-58.916008
581.231993,-58.866723
583.891658,-58.97338
585.114516,-58.922432
586.447874,-59.039092
587.670732,-59.003165
589.00409,-59.138106
590.337448,-59.117311
591.791078,-59.257355
593.124436,-59.23565
595.921903,-59.372892
597.283139,-59.355235
598.752829,-59.50712
600.206459,-59.508759
601.676148,-59.676747
603.129778,-59.687024
604.491014,-59.857959
605.960704,-59.857173
606.057607,-60.023007
608.802409,-60.029425
610.081563,-60.205756
627.609088,-60.220159
628.495642,-60.399661
631.326477,-60.407059
632.259479,-60.568787
633.19248,-60.542261
635.164088,-60.658659
636.097089,-60.592679
637.135967,-60.691942
638.174845,-60.60628
639.142432,-60.672405
640.705204,-60.546151
642.628595,-60.566016
643.644624,-60.384437
644.714671,-60.351567
645.827093,-60.125809
646.865971,-60.058209
648.119169,-59.805549
650.369194,-59.710676
651.385223,-59.423432
652.530913,-59.295573
653.643335,-58.986305
654.659365,-58.851036
655.893688,-58.544758
657.0187,-58.417695
659.377966,-58.119508
660.65712,-58.020483
661.879978,-57.802355
663.004991,-57.791837
664.117413,-57.630925
665.340271,-57.647347
666.56313,-57.500509
667.785988,-57.531183
670.010832,-57.406441
671.123254,-57.466043
672.329438,-57.376563
673.331508,-57.47144
674.540992,-57.395598
675.543062,-57.454162
676.434897,-57.332688
677.436968,-57.370813
678.328803,-57.256596
680.125586,-57.315887
681.127656,-57.228379
682.129727,-57.319377
683.23792,-57.271472
684.456932,-57.403968
685.786764,-57.394094
687.005777,-57.554487
688.339135,-57.563814
689.668967,-57.73873
692.481499,-57.762251
693.951189,-57.951501
695.443074,-57.9793
696.828245,-58.157211
698.32013,-58.156432
699.705301,-58.289799
701.12065,-58.240116
702.535999,-58.317717
703.951348,-58.206193
705.366696,-58.219831
706.67847,-58.043522
709.521634,-57.989904
710.872207,-57.745455
712.267241,-57.641751
713.718622,-57.369666
715.113656,-57.253303
716.652954,-56.977203
718.192252,-56.856967
721.611585,-56.585713
723.347821,-56.490376
725.230186,-56.2638
727.112551,-56.220257
728.994917,-56.050456
730.824152,-56.06785
732.748275,-55.955921
736.356347,-56.015715
738.136146,-55.928913
739.915945,-56.003711
741.551935,-55.931747
743.236007,-56.026566
745.015806,-55.970138
746.651796,-56.067509
749.878985,-56.010087
751.418284,-56.104783
753.008592,-56.039202
754.45323,-56.116757
756.043538,-56.031141
757.582837,-56.08625
759.081709,-55.975901
762.112659,-56.005564
763.605504,-55.866024
764.956077,-55.861631
766.448921,-55.690623
769.250498,-55.659561
770.601071,-55.466623
772.016421,-55.418596
773.366994,-55.216143
774.64615,-55.161323
775.957924,-54.958464
778.516235,-54.913355
779.795391,-54.723656
780.941081,-54.701261
782.194279,-54.544742
783.319292,-54.56513
784.444304,-54.45739
785.589995,-54.53148
786.715007,-54.479638
787.84002,-54.603884
788.965033,-54.598563
789.981063,-54.760758
791.106075,-54.786282
793.220543,-54.977917
794.236573,-55.028538
795.238643,-55.232866
796.130478,-55.279095
797.146507,-55.468642
798.445825,-55.49567
800.449966,-55.663687
801.465995,-55.673583
802.468066,-55.829836
803.580487,-55.832199
804.966933,-55.974406
805.853487,-55.952772
807.739906,-56.065378
808.741976,-56.022144
809.633811,-56.12385
810.631185,-56.074898
811.628558,-56.17313
812.630629,-56.122114
814.5245,-56.213464
815.52657,-56.14884
816.434061,-56.225037
817.559074,-56.153926
818.575104,-56.23488
819.508106,-56.175375
820.441109,-56.272117
822.114658,-56.225748
823.082247,-56.328505
823.949434,-56.280759
824.719085,-56.377896
825.444776,-56.325426
826.120995,-56.425114
826.846686,-56.387967
827.472416,-56.510843
828.148635,-56.49172
828.774365,-56.624652
829.89066,-56.615148
832.26777,-56.763716
832.943988,-56.778215
833.600691,-56.953532
835.28773,-56.991843
836.0909,-57.185433
836.974175,-57.236112
837.699866,-57.429376
839.608874,-57.467023
840.558743,-57.648336
841.589229,-57.6794
842.756449,-57.85118
843.777777,-57.870245
845.270623,-58.027954
847.179631,-58.034603
848.200959,-58.187522
849.297664,-58.19952
850.318992,-58.360625
851.011578,-58.38045
852.032905,-58.553325
853.063393,-58.587923
854.963131,-58.775256
855.993619,-58.822756
856.876893,-59.01448
857.760168,-59.055271
858.790655,-59.232564
859.67393,-59.249171
860.704417,-59.386466
861.587692,-59.353213
862.537562,-59.438045
864.369354,-59.346935
865.172526,-59.374501
866.048404,-59.222503
866.779538,-59.181163
867.655416,-58.96265
868.465746,-58.866033
869.358771,-58.605479
870.234649,-58.483463
872.140453,-58.216245
873.093354,-58.100499
874.046256,-57.845103
875.473511,-57.745504
876.451843,-57.501142
878.37461,-57.412525
878.962227,-57.186427
879.895591,-57.120277
880.920086,-56.92099
882.036685,-56.881344
883.03076,-56.703782
884.024835,-56.680583
885.947603,-56.511267
886.972098,-56.491507
887.871967,-56.325308
888.805331,-56.315147
889.7052,-56.165482
890.638564,-56.175399
891.571928,-56.04643
893.25897,-56.071629
894.065273,-55.952274
894.908794,-55.983525
895.752315,-55.870964
896.507742,-55.915068
897.263168,-55.818433
898.818775,-55.877356
899.488545,-55.792797
900.294847,-55.862506
901.050273,-55.789642
901.8057,-55.873183
902.519328,-55.819743
903.274754,-55.927057
904.030181,-55.899329
904.836483,-56.034751
906.301948,-56.038739
907.057374,-56.20682
907.812801,-56.24203
908.526429,-56.438172
909.240057,-56.499872
909.8623,-56.73557
910.617726,-56.844364
912.044982,-57.121448
912.75861,-57.261468
913.472238,-57.562696
914.227665,-57.720401
914.914995,-58.034066
915.628623,-58.202657
916.342251,-58.53119
917.055879,-58.727529
918.611487,-59.079959
919.325115,-59.279524
919.947358,-59.622086
925.595113,-59.798389
926.35054,-60.118945
927.133663,-60.275948
928.009542,-60.582971
932.396371,-60.72745
934.599118,-61.024155
935.221362,-61.155171
935.976789,-61.419019
936.267505,-61.514094
937.022932,-61.742584
937.73656,-61.798276
938.491987,-62.000145
939.205616,-62.029568
940.725284,-62.197566
941.438912,-62.18382
941.892658,-62.308729
942.648086,-62.250411
944.973977,-62.327493
945.687605,-62.222031
946.020063,-62.244907
947.682298,-62.084282
950.073122,-62.05622
951.067199,-61.845002
951.96707,-61.770219
952.370222,-61.521302
953.364299,-61.413921
954.333353,-61.13093
955.32743,-60.99186
956.399135,-60.685746
957.374505,-60.532909
957.47141,-60.226519
960.580294,-60.081865
961.549348,-59.787997
962.621053,-59.658811
963.590107,-59.384706
964.469268,-59.279078
965.444639,-59.031038
966.413693,-58.954028
967.285842,-58.734841
968.15799,-58.685997
969.030139,-58.493259
969.527178,-58.467586
970.302421,-58.294666
972.046719,-58.286656
972.918868,-58.127925
973.791016,-58.134057
974.670178,-57.98839
975.542327,-58.003809
976.325451,-57.860488
978.083773,-57.868462
978.866897,-57.708949
979.746058,-57.703289
981.600554,-57.536459
982.500424,-57.523281
983.306728,-57.352171
984.206599,-57.339604
985.853121,-57.169039
986.786487,-57.155785
987.592791,-56.983093
988.436314,-56.972617
989.279837,-56.810865
990.179708,-56.818023
991.866754,-56.67225
993.479362,-56.687914
994.37239,-56.546841
995.215913,-56.559069
995.437551,-56.407861
997.084073,-56.403662
997.839501,-56.234751
1000.242245,-56.220936
1000.574703,-56.047058
1001.231409,-56.029682
1002.074932,-55.852314
1002.744703,-55.833413
1004.142566,-55.659275
1005.120901,-55.648418
1005.56254,-55.491029
1006.293675,-55.505856
1007.049104,-55.37883
1007.859436,-55.419201
1008.529207,-55.309339
1009.260342,-55.360629
1009.930113,-55.254897
1010.661249,-55.304952
1012.059113,-55.193134
1012.715818,-55.233179
1013.471247,-55.107032
1014.127952,-55.127093
1015.683564,-54.974976
1016.353335,-54.968096
1017.084471,-54.794731
1017.741176,-54.772128
1018.472312,-54.587371
1018.956107,-54.558886
1020.496564,-54.371864
1021.306896,-54.344337
1022.182777,-54.163391
1022.99311,-54.149149
1023.724246,-53.991195
1024.677151,-54.005791
1026.217608,-53.879595
1026.948744,-53.923325
1027.824625,-53.821549
1028.555761,-53.884714
1029.366094,-53.795146
1030.09723,-53.870609
1030.900404,-53.796186
1032.362676,-53.889051
1033.093813,-53.829955
1033.904146,-53.931829
1034.635282,-53.875425
1035.366418,-53.967948
1036.03619,-53.900754
1036.846523,-53.986305
1037.577659,-53.918715
1039.057117,-54.012536
1039.86745,-53.94601
1040.677784,-54.003188
1041.553665,-53.884145
1042.363998,-53.88597
1043.095135,-53.713814
1055.800264,-53.675342
1057.197086,-53.481565
1057.928223,-53.431967
1059.520587,-53.22968
1060.251724,-53.169763
1060.982861,-52.96091
1061.713998,-52.902493
1062.445135,-52.729934
1063.101841,-52.717256
1063.771614,-52.591085
1064.502751,-52.624549
1065.900618,-52.534123
1066.57039,-52.591786
1067.240163,-52.521409
1067.909935,-52.603712
1068.579707,-52.563445
1069.24948,-52.676525
1070.505821,-52.672581
1071.128067,-52.828061
1071.79784,-52.87596
1072.467612,-53.091288
1073.137385,-53.200979
1073.807157,-53.479622
1074.429404,-53.65503
1075.099176,-54.000261
1076.355518,-54.233904
1077.025291,-54.625625
1077.695063,-54.895648
1078.364836,-55.316839
1079.034608,-55.606407
1079.622228,-56.034491
1080.353366,-56.318893
1081.023139,-56.734868
1081.692911,-57.004145
1082.949253,-57.404085
1083.619026,-57.65175
1084.206646,-58.028972
1084.794266,-58.259643
1085.464039,-58.622187
1086.782389,-58.83254
1087.452162,-59.165489
1088.121935,-59.334091
1088.932269,-59.610905
1089.663407,-59.699964
1090.33318,-59.895989
1091.143514,-59.898832
1091.874652,-60.008162
1096.702436,-59.929374
1097.457867,-59.958286
1105.366281,-59.800184
1107.289063,-59.754522
1108.188939,-59.528675
1109.183022,-59.42396
1109.852796,-59.151991
1110.969403,-59.023203
1111.902774,-58.732666
1113.413637,-58.59749
1114.347008,-58.308115
1116.396013,-58.175954
1118.262755,-57.890783
1119.196127,-57.763788
1120.129498,-57.483016
1121.921637,-57.362079
1122.368152,-57.091009
1123.261184,-56.978221
1124.564092,-56.713881
1125.497464,-56.604967
1126.430835,-56.34815
1127.85532,-56.251025
1128.698847,-56.001824
1129.454279,-55.908171
1133.716811,-55.662131
1134.560339,-55.57386
1135.403867,-55.337271
1136.660211,-55.261035
1138.045385,-55.039125
1139.246763,-54.97726
1140.316813,-54.762655
1141.433422,-54.693464
1142.607451,-54.456965
1143.362883,-54.362753
1145.680088,-54.09929
1147.107355,-53.965128
1147.950883,-53.652784
1148.706315,-53.471686
1149.461747,-53.112472
1155.059667,-52.890781
1155.952699,-52.497903
1156.796227,-52.250018
1157.729599,-51.838674
1158.754104,-51.583114
1160.931636,-51.171384
1161.925721,-50.928095
1163.093864,-50.569827
1164.277671,-50.406493
1165.349385,-50.138289
1166.517527,-50.07745
1187.425314,-49.916416
1188.11265,-49.964561
1188.704554,-49.911598
1189.296458,-50.055058
1190.175627,-50.066719
1190.862963,-50.262593
1191.360005,-50.315877
1192.259883,-50.525732
1194.248054,-50.576237
1194.358873,-50.76597
1194.950777,-50.788526
1195.573026,-50.950178
1196.661793,-50.935036
1197.253697,-51.046128
1197.923471,-50.977094
1198.610808,-51.055519
1199.10785,-50.959666
1199.730099,-51.007047
1200.322003,-50.87015
1200.819046,-50.872545
1201.41095,-50.693842
1202.499717,-50.648275
1203.66786,-50.412543
1204.290109,-50.314245
1204.977446,-50.038095
1205.655789,-49.909281
1206.43892,-49.60259
1207.117264,-49.441303
1207.900395,-49.103902
1209.450895,-48.921225
1210.138231,-48.567348
1210.921362,-48.367699
1211.704493,-47.994218
1212.479743,-47.774848
1213.167079,-47.380786
1213.845423,-47.139763
1214.628554,-46.725957
1216.098949,-46.466343
1216.882079,-46.036753
1217.66521,-45.765935
1218.448341,-45.325687
1219.231472,-45.045014
1221.389176,-44.599413
1222.750383,-44.318932
1223.437719,-43.875521
1224.798926,-43.599276
1225.486263,-43.163285
1226.164607,-42.900793
1226.842951,-42.485434
1227.13367,-42.244331
1227.821006,-41.847529
1228.49935,-41.623698
1229.186687,-41.240229
1230.543375,-41.025598
1231.135279,-40.647106
1231.813623,-40.435621
1232.50096,-40.059626
1233.082398,-39.849037
1233.769734,-39.465866
1234.351172,-39.241816
1234.943077,-38.847397
1236.207723,-38.618799
1236.704766,-38.225092
1237.38311,-38.003405
1237.964548,-37.62134
1238.642892,-37.41598
1239.426023,-37.052442
1240.104367,-36.867795
1240.887498,-36.525943
1242.244187,-36.366243
1242.931523,-36.052616
1243.706774,-35.920421
1244.39411,-35.631259
1245.081447,-35.520975
1245.662885,-35.25358
1247.024092,-35.165752
1247.615996,-34.923805
1248.29434,-34.866024
1248.886245,-34.659346
1249.478149,-34.642268
1250.059587,-34.479335
1250.746924,-34.507104
1251.915068,-34.389361
1252.506973,-34.461425
1253.088411,-34.385553
1253.680315,-34.496441
1254.261753,-34.459666
1254.843191,-34.607896
1255.435096,-34.605435
1256.016534,-34.783269
1256.597972,-34.806871
1257.179409,-35.009575
1257.771314,-35.056082
1258.837284,-35.280392
1259.418721,-35.348648
1260.000159,-35.594502
1260.581597,-35.68205
1261.066129,-35.943372
1261.647567,-36.044469
1262.713536,-36.318028
1263.305441,-36.43134
1263.789973,-36.715455
1264.274504,-36.836845
1264.855942,-37.128548
1265.340474,-37.257869
1266.926217,-37.563449
1267.410749,-37.723733
1268.476718,-38.059165
1268.96125,-38.242734
1269.542688,-38.600264
1270.511751,-38.808943
1271.008794,-39.187552
1271.374364,-39.412745
1272.483204,-39.802939
1272.980247,-40.034291
1273.949311,-40.422808
1275.103792,-40.632903
1276.212632,-40.96966
1277.530986,-41.122354
1278.330567,-41.400873
1278.815098,-41.491157
1280.066563,-41.700332
1280.744907,-41.722975
1281.913052,-41.868483
1282.504956,-41.832386
1283.183301,-41.926143
1283.861645,-41.847204
1284.636896,-41.910285
1285.791377,-41.810657
1286.566627,-41.858155
1287.253964,-41.751456
1288.029215,-41.800821
1289.579716,-41.702336
1290.362847,-41.762794
1291.242016,-41.674811
1292.017267,-41.74627
1292.792517,-41.667334
1293.671687,-41.744568
1295.125282,-41.669607
1295.908413,-41.750894
1296.683664,-41.679897
1297.982989,-41.763813
1320.317956,-41.690718
1347.703004,-41.768462
1348.390341,-41.686936
1349.068686,-41.756839
1349.756023,-41.66708
1350.434367,-41.726582
1351.121704,-41.626208
1351.800049,-41.675909
1353.257862,-41.565987
1354.150896,-41.603381
1354.82924,-41.478439
1355.507585,-41.503706
1356.089023,-41.372758
1356.670461,-41.395593
1357.700954,-41.26521
1358.863831,-41.293124
1360.220519,-41.175044
1360.898864,-41.217957
1362.646695,-41.116829
1364.854881,-41.179874
1365.533226,-41.102166
1366.21157,-41.188464
1366.889914,-41.130115
1367.180634,-41.2318
1368.34351,-41.192613
1369.021854,-41.314809
1370.378543,-41.29477
1371.056888,-41.433753
1371.744225,-41.42735
1372.422569,-41.577611
1373.004007,-41.582898
1373.682352,-41.747927
1374.369689,-41.772547
1376.224202,-41.959124
1376.902546,-42.003659
1377.580891,-42.202534
1378.065423,-42.251571
1378.848554,-42.447938
1379.333086,-42.48929
1379.774726,-42.679674
1380.942871,-42.719851
1381.427403,-42.914205
