DCx,X,Z,K,Theta,q
2013,19006,-1.298000,0.000370368,245.5597326,0.344874089
2018,19001,-1.298000,0.000371326,313.9980476,1.456142885
2023,18996,-1.298000,0.000370826,17.57691269,2.605783103
2028,18991,-1.298000,0.000371238,25.36042019,0.050111637
2033,18986,-1.298000,0.000371803,133.3180092,2.456725134
2038,18981,-1.298000,0.000370612,65.60131247,2.351621017
2043,18976,-1.298000,0.000370358,22.73493294,0.581123199
2048,18971,-1.298000,0.000370114,117.5882795,2.738532874
2053,18966,-1.298000,0.00036903,309.8041529,2.051069825
2058,18961,-1.298000,0.000367467,214.2707915,2.665180526
2063,18956,-1.298000,0.000366395,151.3462524,2.138609113
2068,18951,-1.298000,0.000366541,180.7268874,1.454676065
2073,18946,-1.298000,0.000368827,126.0732236,2.499654128
2078,18941,-1.298000,0.000368524,46.39506404,0.272239262
2083,18936,-1.298000,0.00037032,192.6890106,0.07647527
2088,18931,-1.298000,0.000375797,143.0996584,1.007183613
2093,18926,-1.298000,0.000379049,215.0738783,1.460767879
2098,18921,-1.298000,0.000380067,123.5409708,0.676088482
2103,18916,-1.298000,0.000381473,68.91499869,1.664126398
2108,18911,-1.298000,0.000382527,1.821600036,2.043445178
2113,18906,-1.298000,0.000382404,47.91621186,2.504829625
2118,18901,-1.298000,0.000380465,193.2156998,2.68761844
2123,18896,-1.298000,0.000376985,56.52647858,1.312793755
2128,18891,-1.298000,0.00037274,153.9358897,1.198965867
2133,18886,-1.298000,0.000370442,331.7687489,1.320359862
2138,18881,-1.298000,0.00036696,297.7033367,0.928879073
2143,18876,-1.298000,0.000361487,355.0016753,1.340860116
2148,18871,-1.298000,0.000356928,308.2143755,2.89317037
2153,18866,-1.298000,0.00035258,72.40321426,1.387044697
2158,18861,-1.298000,0.000348369,117.3830901,1.487976037
2163,18856,-1.298000,0.000344911,303.4794577,0.064619678
2168,18851,-1.298000,0.000343031,24.24926674,0.576855394
2173,18846,-1.298000,0.000342896,286.951481,2.694402782
2178,18841,-1.298000,0.000342061,256.0455011,1.16787667
2183,18836,-1.298000,0.000340011,128.4676158,0.306138462
2188,18831,-1.298000,0.000336895,147.5141088,1.049095745
2193,18826,-1.298000,0.000333849,23.77250829,0.535638273
2198,18821,-1.298000,0.000331711,301.2681977,0.747273187
2203,18816,-1.298000,0.000331285,106.9182097,1.92295335
2208,18811,-1.298000,0.000331895,322.8827181,2.92726248
2213,18806,-1.298000,0.000335595,110.3393647,2.761991555
2218,18801,-1.298000,0.000340017,146.3599572,0.161420786
2223,18796,-1.298000,0.000345622,308.431578,2.709254037
